ID,DATE,TIME,BOROUGH,LATITUDE,LONGITUDE,CLASS
3191477,1,18,BROOKLYN,40.6739812,-73.8993075,0
3191473,1,18,BROOKLYN,40.6713407,-73.8819394,0
3194899,1,18,MANHATTAN,40.7364652,-73.9869628,1
3191610,1,18,QUEENS,40.7413881,-73.7248837,1
3215250,1,18,QUEENS,40.7485506,-73.895813,1
3192204,1,18,QUEENS,40.6659252,-73.8350277,0
3192205,1,18,QUEENS,40.6676748,-73.8026387,0
3191609,1,18,QUEENS,40.7184964,-73.73531,0
3192350,1,18,STATEN ISLAND,40.6083331,-74.101854,0
3191181,1,18,MANHATTAN,40.7602507,-73.9696243,0
3191862,1,18,MANHATTAN,40.8241267,-73.954828,0
3192106,1,18,BROOKLYN,40.6841576,-73.9690604,1
3191246,1,18,MANHATTAN,40.8208286,-73.9508271,0
3191910,1,18,BRONX,40.855728,-73.910412,0
3192307,1,18,QUEENS,40.7652244,-73.9316919,0
3192159,1,18,QUEENS,40.7100129,-73.7947294,0
3192125,1,18,BROOKLYN,40.7030333,-73.9598908,0
3191439,1,18,BROOKLYN,40.6252419,-74.0094635,0
3191660,1,18,QUEENS,40.7624202,-73.8275149,0
3192206,1,18,QUEENS,40.6660852,-73.8280776,0
3192160,1,18,QUEENS,40.7183558,-73.7653967,0
3191504,1,18,BROOKLYN,40.698677,-73.9588584,1
3191395,1,18,BROOKLYN,40.6246549,-73.9993192,0
3191386,1,18,BROOKLYN,40.5979864,-73.9641058,1
3191921,1,18,BRONX,40.903481,-73.8503406,0
3191478,1,18,BROOKLYN,40.671341,-73.8995854,0
3191692,1,18,QUEENS,40.7325834,-73.8680511,0
3192664,1,18,BROOKLYN,40.688553,-73.9124432,1
3192006,1,18,BROOKLYN,40.6340471,-73.9631028,0
3191176,1,18,MANHATTAN,40.7454414,-73.9753944,0
3192353,1,18,STATEN ISLAND,40.6001833,-74.064639,0
3191235,1,18,MANHATTAN,40.7940523,-73.9703673,0
3192536,1,19,BROOKLYN,40.6212206,-73.9053019,0
3191718,1,19,QUEENS,40.7617711,-73.8680908,0
3192188,1,19,QUEENS,40.7082145,-73.7329197,1
3191233,1,19,MANHATTAN,40.7886954,-73.9378611,0
3192305,1,19,QUEENS,40.7558352,-73.9281534,0
3191417,1,19,BROOKLYN,40.6344673,-73.9927005,1
3192351,1,19,STATEN ISLAND,40.5737857,-74.1064233,0
3194625,1,19,BROOKLYN,40.6597445,-73.9170728,0
3191931,1,19,BRONX,40.8466586,-73.8961762,0
3192135,1,19,BROOKLYN,40.7140658,-73.9493728,1
3192352,1,19,STATEN ISLAND,40.5538371,-74.1457778,0
3191747,1,19,STATEN ISLAND,40.581161,-74.1063991,0
3191840,1,19,MANHATTAN,40.7787301,-73.9778302,0
3191909,1,19,BRONX,40.8490051,-73.9161284,0
3192066,1,19,BROOKLYN,40.6774132,-73.9303181,0
3191662,1,19,QUEENS,40.7868543,-73.822349,1
3194727,1,19,QUEENS,40.6654712,-73.7544409,0
3192190,1,19,QUEENS,40.6640184,-73.7685904,0
